[Time:        1] [Episode:        1 Length       12 Score:    -0.3050] [RScore:    -0.3050 RPPS:     9] [PPS:    10 TPS:     4] [NT:  0 NP:  0 NA:  0]
[Time:        1] [Episode:        2 Length        5 Score:     0.0500] [RScore:    -0.1275 RPPS:     9] [PPS:    10 TPS:     6] [NT:  0 NP:  0 NA:  0]
[Time:        2] [Episode:        3 Length        9 Score:    -0.1297] [RScore:    -0.1282 RPPS:    10] [PPS:    11 TPS:     9] [NT:  4 NP:  4 NA: 64]
[Time:        3] [Episode:        4 Length       22 Score:    -0.3851] [RScore:    -0.1924 RPPS:    13] [PPS:    14 TPS:    24] [NT:  4 NP:  4 NA: 64]
[Time:        4] [Episode:        5 Length       29 Score:    -1.9327] [RScore:    -0.5405 RPPS:    15] [PPS:    16 TPS:    35] [NT:  4 NP:  4 NA: 64]
[Time:        6] [Episode:        6 Length       36 Score:    -0.6236] [RScore:    -0.5543 RPPS:    17] [PPS:    18 TPS:    42] [NT:  4 NP:  4 NA: 64]
[Time:        7] [Episode:        7 Length       47 Score:    -2.3822] [RScore:    -0.8155 RPPS:    22] [PPS:    23 TPS:    44] [NT:  4 NP:  4 NA: 64]
[Time:        7] [Episode:        8 Length       50 Score:    -2.0271] [RScore:    -0.9669 RPPS:    27] [PPS:    28 TPS:    45] [NT:  4 NP:  4 NA: 64]
[Time:        9] [Episode:        9 Length       50 Score:    -2.5504] [RScore:    -1.1429 RPPS:    28] [PPS:    29 TPS:    48] [NT:  4 NP:  4 NA: 64]
[Time:        9] [Episode:       10 Length       45 Score:    -1.0555] [RScore:    -1.1341 RPPS:    33] [PPS:    34 TPS:    49] [NT:  4 NP:  4 NA: 64]
[Time:        9] [Episode:       11 Length       66 Score:    -1.1556] [RScore:    -1.1361 RPPS:    39] [PPS:    40 TPS:    49] [NT:  4 NP:  4 NA: 64]
[Time:        9] [Episode:       12 Length       45 Score:    -3.3057] [RScore:    -1.3169 RPPS:    44] [PPS:    45 TPS:    49] [NT:  4 NP:  4 NA: 64]
[Time:        9] [Episode:       13 Length       53 Score:    -3.3141] [RScore:    -1.4705 RPPS:    49] [PPS:    50 TPS:    49] [NT:  4 NP:  4 NA: 64]
[Time:        9] [Episode:       14 Length       60 Score:    -2.3244] [RScore:    -1.5315 RPPS:    55] [PPS:    56 TPS:    49] [NT:  4 NP:  4 NA: 64]
[Time:       10] [Episode:       15 Length       69 Score:     0.4492] [RScore:    -1.3995 RPPS:    56] [PPS:    57 TPS:    51] [NT:  4 NP:  4 NA: 64]
[Time:       10] [Episode:       16 Length       64 Score:    -2.5006] [RScore:    -1.4683 RPPS:    61] [PPS:    62 TPS:    51] [NT:  4 NP:  4 NA: 64]
